"""השימוש בנתונים אלה הינו באחריות המשתמש.""",,,,,,,,
סוג נתונים: מחירים,,,,,,,,
נושא: מדד ומחירים ממוצעים משוק הדירות,,,,,,,,
תת נושא: מחירים ממוצעים של דירות בבעלות הדיירים,,,,,,,,
"סדרה: 21000 - ירושלים, 22000 - תל אביב, 23000 - חיפה, 26000 - הדרום, 27000 - השרון",,,,,,,,
משנה: 2000,,,,,,,,
רבעון: רבעון I,,,,,,,,
עד שנה: 2017,,,,,,,,
רבעון: רבעון IV,,,,,,,,
סוג מדד: מחירים,,,,,,,,
,,,,,,,,
אוקטובר-דצמבר,יולי-ספטמבר,אפריל-יוני,ינואר-מרס,ממוצע שנתי,שנה,מטבע,אזור וחדרים בדירה,קוד
"774,750.6","753,614.1","800,761.7","768,293.7",-,2000,שקלים חדשים,ירושלים,21000
"1,018,860.0","1,048,982.0","1,055,390.0","1,042,321.0",-,2000,שקלים חדשים,תל אביב,22000
"672,166.7","670,868.2","690,573.6","664,035.6",-,2000,שקלים חדשים,חיפה,23000
"387,010.7","378,036.2","404,590.7","397,668.2",-,2000,שקלים חדשים,הדרום,26000
"692,551.9","750,328.7","722,133.0","648,091.4",-,2000,שקלים חדשים,השרון,27000
"674,790.6","759,990.0","723,584.9","768,821.7",-,2001,שקלים חדשים,ירושלים,21000
"838,939.4","954,415.9","1,005,246.0","969,401.6",-,2001,שקלים חדשים,תל אביב,22000
"598,192.7","677,727.2","646,441.0","666,469.6",-,2001,שקלים חדשים,חיפה,23000
"450,377.4","414,943.4","392,122.4","410,018.4",-,2001,שקלים חדשים,הדרום,26000
"726,959.2","688,211.4","729,974.2","727,841.2",-,2001,שקלים חדשים,השרון,27000
"762,345.7","770,985.2","787,019.4","773,063.7",-,2002,שקלים חדשים,ירושלים,21000
"954,669.6","900,663.1","985,678.4","976,819.4",-,2002,שקלים חדשים,תל אביב,22000
"630,215.2","621,041.7","625,014.4","607,755.7",-,2002,שקלים חדשים,חיפה,23000
"456,419.6","473,660.0","471,512.1","470,086.4",-,2002,שקלים חדשים,הדרום,26000
